people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8740,"Kevin Raye",Kevin,L.,Raye,,,2,R,2,Sen,SD-029,6657900,36606,,Kevin_Raye,228289,0
8743,"Troy Jackson",Troy,Dale,Jackson,,,1,D,2,Sen,SD-035,6454231,36809,,Troy_Dale_Jackson,212794,0
8744,"John Martin",John,L.,Martin,,,1,D,1,Rep,HD-001,6373833,6674,,John_L._Martin,195565,0
8745,"Bernard Ayotte",Bernard,"L. A.",Ayotte,,,2,R,1,Rep,HD-003,13001810,36642,,Bernard_Ayotte,250723,0
8746,"Charles Theriault",Charles,Kenneth,Theriault,,,1,D,1,Rep,HD-002,6475090,57531,,Charles_Theriault,251376,0
8747,"Margaret Craven",Margaret,M.,Craven,,,1,D,1,Rep,HD-059,6450902,37163,,Margaret_Craven,212766,0
8748,"Justin Alfond",Justin,L.,Alfond,,,1,D,2,Sen,SD-027,6486098,103424,,Justin_Alfond,272122,0
8749,"Philip Bartlett",Philip,L.,Bartlett,II,,1,D,2,Sen,SD-006,6453970,36967,,Philip_Bartlett,228284,0
8750,"Lawrence Bliss",Lawrence,S.,Bliss,,,1,D,2,Sen,SD-007,1763135,54446,,Lawrence_Bliss,205599,0
8752,"Joseph Brannigan",Joseph,C.,Brannigan,,,1,D,2,Sen,SD-009,6371143,36823,,Joseph_Brannigan,205601,0
8754,"Jonathan Courtney",Jonathan,T.E.,Courtney,,,2,R,2,Sen,SD-003,6614214,37167,,Jonathan_Courtney,212731,0
8757,"William Diamond",William,,Diamond,,Bill,1,D,2,Sen,SD-026,6454114,36723,,Bill_Diamond,573118,0
8758,"Stanley Gerzofsky",Stanley,,Gerzofsky,,,1,D,2,Sen,SD-024,6372540,36712,,Stan_Gerzofsky,205606,0
8759,"Seth Goodall",Seth,A.,Goodall,,,1,D,2,Sen,SD-019,6486224,103429,,Seth_Goodall,272139,0
8761,"David Hastings",David,R.,Hastings,III,,2,R,2,Sen,SD-013,6657721,37075,,David_Hastings,228286,0
8762,"Barry Hobbins",Barry,J.,Hobbins,,,1,D,1,Rep,HD-014,6454211,36710,,Barry_Hobbins,228283,0
8763,"Earle Mccormick",Earle,L.,Mccormick,,,2,R,2,Sen,SD-014,13001964,36574,,Earle_McCormick,212761,0
8769,"Debra Plowman",Debra,D.,Plowman,,,2,R,2,Sen,SD-033,13002029,6695,,Debra_Plowman,228291,0
8770,"Christopher Rector",Christopher,,Rector,,,2,R,2,Sen,SD-022,6614314,36681,,Christopher_Rector,212752,0
8771,"Richard Rosen",Richard,W.,Rosen,,,2,R,2,Sen,SD-031,6571516,19453,,Richard_Rosen,195519,0
8772,"Elizabeth Schneider",Elizabeth,M.,Schneider,,,1,D,2,Sen,SD-030,6454415,36561,,Elizabeth_Schneider,228290,0
8773,"Roger Sherman",Roger,L.,Sherman,,,2,R,1,Rep,HD-144,6571748,19565,,Roger_Sherman,195552,0
8776,"Nancy Sullivan",Nancy,B.,Sullivan,,,1,D,2,Sen,SD-004,13001838,19536,,Nancy_Sullivan,195432,0
8777,"David Trahan",David,,Trahan,,,2,R,2,Sen,SD-020,6572258,19472,,David_Trahan,195466,0
8782,"Paulette Beaudoin",Paulette,G.,Beaudoin,,,1,D,1,Rep,HD-135,6474797,65209,,Paulette_Beaudoin,251429,0
8783,"Michael Beaulieu",Michael,Gary,Beaulieu,,,2,R,1,Rep,HD-068,6669360,57568,,Michael_Beaulieu,250754,0
8784,"Henry Beck",Henry,"E. M.",Beck,,,1,D,1,Rep,HD-110,6486108,103533,,Henry_Beck,272125,0
8785,"Seth Berry",Seth,Allan,Berry,,,1,D,1,Rep,HD-067,6474821,57592,,Seth_Berry,250752,0
8786,"Bruce Bickford",Bruce,A.,Bickford,,,2,R,1,Rep,HD-063,6674044,103524,,Bruce_Bickford,272095,0
8788,"Anna Blodgett",Anna,D.,Blodgett,,,1,D,1,Rep,HD-056,6496780,109381,,Anna_Blodgett,272124,0
8789,"Andrea Boland",Andrea,M.,Boland,,,1,D,1,Rep,HD-142,9930370,19412,,Andrea_Boland,250791,0
8790,"Brian Bolduc",Brian,D.,Bolduc,,,1,D,1,Rep,HD-069,13001939,10936,,Brian_Bolduc,272094,0
8791,"Sheryl Briggs",Sheryl,J.,Briggs,,,1,D,1,Rep,HD-093,6486124,101951,,Sheryl_Briggs,260060,0
8793,"Mark Bryant",Mark,E.,Bryant,,,1,D,1,Rep,HD-024,6453999,37139,,Mark_Bryant,228265,0
8794,"David C. Burns",David,C.,Burns,,,2,R,2,Sen,SD-006,6674055,103458,,David_C._Burns,272083,0
8796,"Emily Cain",Emily,Ann,Cain,,,1,D,2,Sen,SD-030,6465137,36658,,Emily_Ann_Cain,228234,0
8798,"Michael Carey",Michael,E.,Carey,,,1,D,1,Rep,HD-072,13001949,101950,,Michael_Carey,260054,0
8799,"Alan Casavant",Alan,M.,Casavant,,,1,D,1,Rep,HD-137,6454056,37199,,Alan_Casavant,250787,0
8800,"Richard Cebra",Richard,M.,Cebra,,,2,R,1,Rep,HD-101,6657586,37068,,Richard_Cebra,228262,0
8801,"Michael Celli",Michael,,Celli,,,2,R,1,Rep,HD-021,6674068,103451,,Michael_Celli,272081,0
8802,"Kathleen Chase",Kathleen,D.,Chase,,,2,R,1,Rep,HD-147,13002086,57565,,Kathleen_Chase,250795,0
8803,"Herbert Clark",Herbert,E.,Clark,,,1,D,1,Rep,HD-010,6450996,6612,,Herbert_Clark,228551,0
8804,"Tyler Clark",Tyler,A.,Clark,,,2,R,1,Rep,HD-006,6669373,57217,,Tyler_Clark,272076,0
8808,"Alexander du Houx",Alexander,"M D Cornell","du Houx",,,1,D,1,Rep,HD-066,13001931,103519,,Alexander_Cornell_du_Houx,272093,0
8809,"David Cotta","H. David",,Cotta,,,2,R,1,Rep,HD-055,6533455,36885,,H._David_Cotta,251407,0
8810,"Dean Cray",Dean,A.,Cray,,,2,R,1,Rep,HD-028,6669375,57599,,Dean_Cray,250728,0
8811,"Jarrod Crockett",Jarrod,S.,Crockett,,,2,R,1,Rep,HD-091,13001990,103550,,Jarrod_Crockett,272102,0
8813,"Philip Curtis",Philip,A.,Curtis,,,2,R,1,Rep,HD-111,6665922,36803,,Philip_Curtis,228257,0
8814,"Andre Cushing",Andre,E.,Cushing,III,,2,R,2,Sen,SD-010,6674087,103477,,Andre_Cushing_III,272087,0
8815,"Paul Davis",Paul,T.,Davis,Sr.,,2,R,2,Sen,SD-004,6568945,19594,,Paul_T._Davis,272082,0
8816,"Cynthia Dill",Cynthia,Ann,Dill,,,1,D,2,Sen,SD-007,6474898,57558,,Cynthia_Dill,250779,0
8818,"Timothy Driscoll",Timothy,E.,Driscoll,,,1,D,1,Rep,HD-126,6454120,36771,,Timothy_Driscoll,228271,0
8819,"Robert Duchesne",Robert,S.,Duchesne,,,1,D,1,Rep,HD-121,6454123,36552,,Robert_Duchesne,228231,0
8821,"Jane Eberle",Jane,E.,Eberle,,,1,D,1,Rep,HD-123,6454135,37246,,Jane_Eberle,228270,0
8822,"Peter Edgecomb",Peter,,Edgecomb,,,2,R,2,Sen,SD-001,6555602,36899,,Peter_Edgecomb,228229,0
8823,"Mark Eves",Mark,,Eves,,,1,D,1,Rep,HD-006,6486186,103654,,Mark_Eves,272121,0
8825,"Stacey Fitts",Stacey,Allen,Fitts,,,2,R,1,Rep,HD-029,6589171,36895,,Stacey_Fitts,228238,0
8827,"Elspeth Flemings",Elspeth,M.,Flemings,,,1,D,1,Rep,HD-035,6486201,103465,,Elspeth_Flemings,272085,0
8829,"Patrick Flood",Patrick,S.,Flood,,,2,R,2,Sen,SD-021,13001973,36830,,Patrick_Flood,228256,0
8830,"Leslie Fossel",Leslie,T.,Fossel,,,2,R,1,Rep,HD-053,6614235,36833,,Leslie_Fossel,272100,0
8831,"Jeffery Gifford",Jeffery,Allen,Gifford,,,2,R,1,Rep,HD-012,6669427,57597,,Jeffery_Gifford,250726,0
8832,"Paul Gilbert",Paul,E.,Gilbert,,,1,D,1,Rep,HD-074,6486208,103544,,Paul_Gilbert,272099,0
8834,"Adam Goode",Adam,A.,Goode,,,1,D,1,Rep,HD-127,6486227,103446,,Adam_Goode,272077,0
8836,"James Hamper",James,Michael,Hamper,,,2,R,2,Sen,SD-019,6657700,37238,,James_Hamper,228261,0
8837,"Stephen Hanley",Stephen,P.,Hanley,,,1,D,1,Rep,HD-087,6454178,36980,,Stephen_Hanley,228251,0
8838,"Charles Harlow",Charles,William,Harlow,,,1,D,1,Rep,HD-116,13002033,37274,,Charles_Harlow,228268,0
8839,"Lance Harvell",Lance,E.,Harvell,,,2,R,1,Rep,HD-089,13001960,36621,,Lance_Harvell,276271,0
8840,"Anne Haskell",Anne,M.,Haskell,,,1,D,2,Sen,SD-028,6468520,57588,,Anne_Haskell,250774,0
8841,"Terry Hayes",Terry,,Hayes,,,1,D,1,Rep,HD-094,6454207,36682,,Teresea_Hayes,251414,0
8842,"Dawn Hill",Dawn,,Hill,,,1,D,2,Sen,SD-035,6474984,56984,,Dawn_Hill,250799,0
8843,"Jon Hinck",Jon,W.,Hinck,,,1,D,1,Rep,HD-118,6468524,57590,,Jon_Hinck,250776,0
8844,"George Hogan",George,W.,Hogan,,,1,D,1,Rep,HD-013,6454218,36817,,George_Hogan,228274,0
8845,"Robert Hunt",Robert,B.,Hunt,,,1,D,1,Rep,HD-131,6486243,103640,,Robert_Hunt,272118,0
8846,"Melissa Innes",Melissa,Walsh,Innes,,,1,D,1,Rep,HD-107,6486247,103573,,Melissa_Innes,272107,0
8847,"Peter Johnson",Peter,B.,Johnson,,,2,R,1,Rep,HD-027,6674143,101954,,Peter_Johnson,260053,0
8850,"Bryan Kaenrath",Bryan,T.,Kaenrath,,,1,D,1,Rep,HD-124,6468528,57183,,Bryan_Kaenrath,250781,0
8851,"Peter Kent",Peter,S.,Kent,,,1,D,1,Rep,HD-065,13001928,103516,,Peter_Kent,272092,0
8852,"Jane Knapp",Jane,S.,Knapp,,,2,R,1,Rep,HD-129,13002057,68598,,Jane_Knapp,272116,0
8853,"Gary Knight",Gary,,Knight,,,2,R,1,Rep,HD-081,6657765,36698,,Gary_Knight,250763,0
8854,"Charles Kruger",Charles,B.,Kruger,,,1,D,1,Rep,HD-092,6486263,103498,,Charles_Kruger,272091,0
8855,"Michael Lajoie",Michael,,Lajoie,,,1,D,1,Rep,HD-058,6486269,103527,,Michel_Lajoie,272112,0
8856,"Brian Langley",Brian,D.,Langley,,,2,R,2,Sen,SD-007,6674158,103470,,Brian_Langley,272086,0
8859,"Stephen Lovejoy",Stephen,D.,Lovejoy,,,1,D,1,Rep,HD-115,6486286,103595,,Stephen_Lovejoy,272111,0
8860,"Bruce Macdonald",Bruce,,Macdonald,,,1,D,1,Rep,HD-061,13001917,37187,,W._Bruce_MacDonald,250748,0
8863,"Edward Mazurek",Edward,J.,Mazurek,,,1,D,2,Sen,SD-022,6454298,37082,,Edward_Mazurek,228246,0
8864,"Jeffrey Mccabe",Jeffrey,M.,Mccabe,,,1,D,1,Rep,HD-107,13001980,103540,,Jeff_McCabe_(Maine),272098,0
8865,"Howard Mcfadden",Howard,E.,Mcfadden,,,2,R,1,Rep,HD-030,13001865,37260,,Howard_McFadden,228239,0
8866,"Jonathan Mckane",Jonathan,B.,Mckane,,,2,R,1,Rep,HD-051,6657832,36820,,Jonathan_McKane,228248,0
8867,"Everett Mcleod",Everett,W.,Mcleod,Sr.,,2,R,1,Rep,HD-011,6657839,37203,,"Everett_McLeod,_Sr.",228230,0
8870,"W. Mitchell",W.,,Mitchell,,,1,D,1,Rep,SD-024,6425740,95892,,Raymond_W._Mitchell,268799,0
8871,"Terry Morrison",Terry,K.,Morrison,,,1,D,1,Rep,HD-031,6486328,103629,,Terry_Morrison,272114,0
8872,"Joan Nass",Joan,M.,Nass,,,2,R,1,Rep,HD-144,6657850,36773,,Joan_Nass,228279,0
8873,"Mary Nelson",Mary,P.,Nelson,,,1,D,1,Rep,HD-112,13002023,103582,,Mary_Nelson_(Maine),272108,0
