bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1401843,1806,LD2,4,Passed,2021-03-12,"An Act To Require the Inclusion of Racial Impact Statements in the Legislative Process","An Act To Require the Inclusion of Racial Impact Statements in the Legislative Process",0,,2021-03-12,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD2/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=2&snum=130
1401056,1806,LD40,4,Passed,2021-03-11,"Resolve, Regarding Legislative Review of Portions of Chapter 305: Rules and Regulations Pertaining to Traffic Movement Permits, a Major Substantive Rule of the Department of Transportation","Resolve, Regarding Legislative Review of Portions of Chapter 305: Rules and Regulations Pertaining to Traffic Movement Permits, a Major Substantive Rule of the Department of Transportation",0,,2021-03-11,"FINALLY PASSED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD40/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=40&snum=130
1402269,1806,LD41,4,Passed,2021-06-15,"Resolve, Regarding Legislative Review of Portions of Chapter 570: Uniform Reporting System for Prescription Drug Price Data Sets, a Major Substantive Rule of the Maine Health Data Organization","Resolve, Regarding Legislative Review of Portions of Chapter 570: Uniform Reporting System for Prescription Drug Price Data Sets, a Major Substantive Rule of the Maine Health Data Organization",0,,2021-06-15,"FINALLY PASSED, in concurrence.",https://legiscan.com/ME/bill/LD41/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=41&snum=130
1402334,1806,LD42,6,Failed,2022-04-25,"An Act Making Certain Supplemental Appropriations and Allocations and Changing Certain Provisions of the Law Necessary to the Proper Operations of State Government","An Act Making Certain Supplemental Appropriations and Allocations and Changing Certain Provisions of the Law Necessary to the Proper Operations of State Government",0,,2022-04-25,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD42/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=42&snum=130
1400860,1806,LD43,6,Failed,2021-03-10,"An Act To Require the Department of Transportation To Provide Ferry Service to Frenchboro","An Act To Require the Department of Transportation To Provide Ferry Service to Frenchboro",0,,2021-03-10,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD43/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=43&snum=130
1401581,1806,LD44,4,Passed,2021-03-30,"An Act To Require the Department of Education To Report Annually on Summer Educational Programs","An Act To Require the Department of Education To Report Annually on Summer Educational Programs",0,,2021-03-30,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD44/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=44&snum=130
1401188,1806,LD45,6,Failed,2021-03-10,"Resolve, Directing the Department of Transportation To Improve a Bridge over the West Branch of the Mattawamkeag River in Moro Plantation and Associated Culverts","Resolve, Directing the Department of Transportation To Improve a Bridge over the West Branch of the Mattawamkeag River in Moro Plantation and Associated Culverts",0,,2021-03-10,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD45/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=45&snum=130
1401352,1806,LD46,4,Passed,2021-06-10,"An Act To Further Protect Consumers from Surprise Medical Bills","An Act To Further Protect Consumers from Surprise Medical Bills",0,,2021-06-10,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD46/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=46&snum=130
1401876,1806,LD47,4,Passed,2021-07-02,"An Act To Fund the State's Free Health Clinics","An Act To Fund the State's Free Health Clinics",0,,2021-07-02,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD47/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=47&snum=130
1400629,1806,LD48,6,Failed,2021-04-28,"Resolve, To Require the Department of Health and Human Services To Request a Waiver Relating to Support Services and To Provide Funds To Prevent Homelessness","Resolve, To Require the Department of Health and Human Services To Request a Waiver Relating to Support Services and To Provide Funds To Prevent Homelessness",0,,2021-04-28,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD48/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=48&snum=130
1400662,1806,LD49,6,Failed,2022-04-25,"An Act To Authorize a General Fund Bond Issue To Invest in Infrastructure To Address Sea Level Rise","An Act To Authorize a General Fund Bond Issue To Invest in Infrastructure To Address Sea Level Rise",0,,2022-04-25,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD49/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=49&snum=130
1400827,1806,LD50,6,Failed,2022-03-22,"An Act To Authorize a General Fund Bond Issue To Invest in Housing for Persons Who Are Homeless","An Act To Authorize a General Fund Bond Issue To Invest in Housing for Persons Who Are Homeless",0,,2022-03-22,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD50/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=50&snum=130
1400564,1806,LD51,4,Passed,2021-03-11,"An Act To Enact the Maine Insurance Data Security Act","An Act To Enact the Maine Insurance Data Security Act",0,,2021-03-11,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD51/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=51&snum=130
1401941,1806,LD52,4,Passed,2021-06-03,"An Act Regarding Collective Bargaining Negotiations by Public Employers of Teachers","An Act Regarding Collective Bargaining Negotiations by Public Employers of Teachers",0,,2021-06-03,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD52/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=52&snum=130
1400728,1806,LD53,6,Failed,2021-04-28,"An Act To Limit Political Advertising","An Act To Limit Political Advertising",0,,2021-04-28,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD53/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=53&snum=130
1401417,1806,LD54,6,Failed,2022-05-09,"An Act To Amend the Laws Governing Post-conviction Review in Order To Facilitate the Fair Hearing of All Newly Discovered Evidence","An Act To Amend the Laws Governing Post-conviction Review in Order To Facilitate the Fair Hearing of All Newly Discovered Evidence",0,,2022-05-09,"In possession of the Senate when the Legislature adjourned Sine Die and was placed in the Legislative Files. (DEAD)",https://legiscan.com/ME/bill/LD54/2021,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=54&snum=130
