bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
447066,1004,LD2,4,Passed,2013-03-05,"Resolve, Regarding Legislative Review of Portions of Chapter 252: Rules Governing Certification of Seed Potatoes in the State of Maine, a Major Substantive Rule of the Department of Agriculture, Conservation and Forestry","Resolve, Regarding Legislative Review of Portions of Chapter 252: Rules Governing Certification of Seed Potatoes in the State of Maine, a Major Substantive Rule of the Department of Agriculture, Conservation and Forestry",0,,2013-03-07,"FINALLY PASSED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD2/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=2&snum=126
446985,1004,LD3,4,Passed,2013-05-07,"Resolve, Regarding Legislative Review of Portions of the MaineCare Benefits Manual, Chapter III, Section 21: Home and Community Benefits for Adults with Intellectual Disabilities or Autistic Disorder, a Major Substantive Rule of the Department of Health and Human Services","Resolve, Regarding Legislative Review of Portions of the MaineCare Benefits Manual, Chapter III, Section 21: Home and Community Benefits for Adults with Intellectual Disabilities or Autistic Disorder, a Major Substantive Rule of the Department of Health and Human Services",0,,2013-05-08,"FINALLY PASSED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD3/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=3&snum=126
446901,1004,LD4,4,Passed,2013-04-02,"Resolve, Regarding Legislative Review of Chapter 675: Infrastructure Surcharge and Capital Reserve Accounts, a Major Substantive Rule of the Public Utilities Commission","Resolve, Regarding Legislative Review of Chapter 675: Infrastructure Surcharge and Capital Reserve Accounts, a Major Substantive Rule of the Public Utilities Commission",0,,2013-04-03,"FINALLY PASSED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD4/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=4&snum=126
451765,1004,LD5,4,Passed,2013-05-23,"An Act To Make Changes to the Potato Marketing Improvement Fund","An Act To Make Changes to the Potato Marketing Improvement Fund",0,,2013-06-27,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD5/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=5&snum=126
451741,1004,LD6,6,Failed,2013-05-14,"An Act Regarding the Authority of a School Board To Elect a School Superintendent","An Act Regarding the Authority of a School Board To Elect a School Superintendent",0,,2013-05-14,"Placed in the Legislative Files. (DEAD)",https://legiscan.com/ME/bill/LD6/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=6&snum=126
451716,1004,LD7,6,Failed,2013-04-23,"An Act To Equalize the Premiums Imposed on the Sale of Motor Vehicle Oil","An Act To Equalize the Premiums Imposed on the Sale of Motor Vehicle Oil",0,,2013-04-23,"Placed in the Legislative Files (DEAD).",https://legiscan.com/ME/bill/LD7/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=7&snum=126
451691,1004,LD8,4,Passed,2013-05-02,"Resolve, Directing the Department of Health and Human Services To Provide Coverage under the MaineCare Program for Home Support Services for Adults with Intellectual Disabilities or Autistic Disorder","Resolve, Directing the Department of Health and Human Services To Provide Coverage under the MaineCare Program for Home Support Services for Adults with Intellectual Disabilities or Autistic Disorder",0,,2013-05-07,"FINALLY PASSED, in concurrence.",https://legiscan.com/ME/bill/LD8/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=8&snum=126
451667,1004,LD9,4,Passed,2013-03-12,"An Act To Allow the Maine Potato Board To Have Access to Information Regarding the Potato Tax","An Act To Allow the Maine Potato Board To Have Access to Information Regarding the Potato Tax",0,,2013-03-14,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD9/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=9&snum=126
451643,1004,LD10,6,Failed,2013-02-19,"An Act To Provide a Property Tax Exemption for Family Burying Grounds","An Act To Provide a Property Tax Exemption for Family Burying Grounds",0,,2013-02-19,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD10/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=10&snum=126
451619,1004,LD11,4,Passed,2013-04-23,"An Act To Allow Vehicles Engaged in Snow Removal or Sanding Operations on Public Ways To Use Preemptive Traffic Light Devices","An Act To Allow Vehicles Engaged in Snow Removal or Sanding Operations on Public Ways To Use Preemptive Traffic Light Devices",0,,2013-04-24,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD11/2013,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=11&snum=126
