bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
191384,48,LD9,6,Failed,2009-03-25,"An Act To Prohibit the Force-feeding of Birds","An Act To Prohibit the Force-feeding of Birds",0,,2009-03-25,"(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD9/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=9&snum=124
191385,48,LD10,6,Failed,2009-06-08,"An Act To Authorize a General Fund Bond Issue for Wastewater Treatment Facilities and Drinking Water Programs","An Act To Authorize a General Fund Bond Issue for Wastewater Treatment Facilities and Drinking Water Programs",0,,2009-06-08,"(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD10/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=10&snum=124
191386,48,LD11,4,Passed,2009-04-16,"Resolve, To Encourage the Preservation of Dark Skies","Resolve, To Encourage the Preservation of Dark Skies",0,,2009-04-28,"(S) FINALLY PASSED in concurrence",https://legiscan.com/ME/bill/LD11/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=11&snum=124
191387,48,LD12,4,Passed,2009-04-14,"Resolve, Directing the Department of Professional and Financial Regulation To Amend Its Rules Governing Pastoral Counselors","Resolve, Directing the Department of Professional and Financial Regulation To Amend Its Rules Governing Pastoral Counselors",0,,2009-04-15,"(S) FINALLY PASSED - Emergency 2/3 Elected Required in concurrence",https://legiscan.com/ME/bill/LD12/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=12&snum=124
191388,48,LD13,6,Failed,2009-03-17,"An Act To Expand the Diagnostic Functions of Independent Practice Dental Hygienists","An Act To Expand the Diagnostic Functions of Independent Practice Dental Hygienists",0,,2009-03-17,"(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD13/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=13&snum=124
191389,48,LD14,6,Failed,2009-03-03,"An Act To Prohibit Air Bag Fraud","An Act To Prohibit Air Bag Fraud",0,,2009-03-03,"(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD14/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=14&snum=124
191390,48,LD15,6,Failed,2009-03-10,"An Act To Prohibit the Sale of a Road Sign Originally Placed by the State, a County or a Municipality","An Act To Prohibit the Sale of a Road Sign Originally Placed by the State, a County or a Municipality",0,,2009-03-10,"(H) Placed in the Legislative Files. (DEAD)",https://legiscan.com/ME/bill/LD15/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=15&snum=124
191391,48,LD16,6,Failed,2009-06-13,"Resolve, To Ensure Appropriate Personal Needs Allowances for Persons Residing in Long-term Care Facilities","Resolve, To Ensure Appropriate Personal Needs Allowances for Persons Residing in Long-term Care Facilities",0,,2009-06-13,"(S) IN POSSESSION OF THE SENATE WHEN THE SENATE ADJOURNED SINE DIE AND PLACED IN THE LEGISLATIVE FILES (DEAD)",https://legiscan.com/ME/bill/LD16/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=16&snum=124
191392,48,LD17,6,Failed,2009-02-12,"An Act To Prohibit the Sale of Energy Drinks to Minors","An Act To Prohibit the Sale of Energy Drinks to Minors",0,,2009-02-12,"(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD17/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=17&snum=124
191393,48,LD18,6,Failed,2009-02-17,"An Act To Ensure Access to MaineCare Services","An Act To Ensure Access to MaineCare Services",0,,2009-02-17,"(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD18/2009,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=18&snum=124
